building,building_uuid,device,instance,point,sensor_uuid,units,tier,role,sample,note
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Condenser Water Entering Temperature,81bea6d9-257d-4ace-a8fe-4d1ba4f1cbe1,degF,A daily + STEP 0 probe,loop reference,78.6972,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Condenser Water Leaving Temperature Active,d4e2f551-dc29-4436-a637-a7f6ef5aca18,degF,B rotation Tue,plant,78.7050,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Evaporator Leaving Temperature Circuit 1,a92568c0-56c1-44f0-a072-d001d1f972e1,degF,B rotation Tue,plant,56.7636,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Evaporator Leaving Temperature Circuit 2,32664ae8-a641-46ca-9ce2-fa19e29864e8,degF,B rotation Tue,plant,48.1308,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Evaporator Leaving Temperature Circuit 3,e4d82141-60e0-472d-ab14-03bfde6e4e26,degF,B rotation Tue,plant,54.9472,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Condensing Saturated Temperature Circuit 1,25c13048-1a79-4a35-b516-3d3096ccd035,degF,B rotation Tue,plant,78.2207,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Condensing Saturated Temperature Circuit 2,42bf1cd3-06ff-4ae5-a1ec-245d14842333,degF,B rotation Tue,plant,90.9746,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Condensing Saturated Temperature Circuit 3,3a1606b7-41b8-47d9-9706-d9ebe2cb96b0,degF,B rotation Tue,plant,78.3730,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Space Temperature Active,7825d1ce-807b-4a45-9246-3229726100d5,degF,A daily,comfort,76.9082,
One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,AHU-J1-9,723101,Space Temperature Setpoint Active,e1e4a89a-5aee-4912-977d-20699bbfcb85,degF,profile (fetch on expansion only),comfort band centre,72.5019,
