block,area,littera,role,unit,quantityKind,sensor_id,value_2026_09_13,age_h,note
daily,canary,LB72_2.GT10.PV,"outdoor air temp, AHU LB72:2 (CANARY)",degC,Temperature,aaffb1b1-f8ca-4e0a-8536-b58799ba3a7b,17.6,0.4,
daily,outdoor,AS72_2.GT31.PV,outdoor temp from master,degC,Temperature,cc64b9b8-2b9a-4f1a-8da9-074fdeb80fd2,16.6,0.3,
daily,AHU LB72:2,LB72_2.GT40.PV,supply air temp,degC,Temperature,13ca5f77-6273-4d60-a192-8bfa1066fd64,18.7,0.4,
daily,AHU LB72:2,LB72_2.GT60.PV,extract air temp,degC,Temperature,da35219b-b024-436e-bc93-ff50e65eeec1,22.4,0.4,
weekly,AHU LB72:2,LB72_2.GT70.PV,exhaust air temp,degC,Temperature,d1244acc-572b-408f-bd07-35306dd8a6b0,22.5,0.4,
weekly,AHU LB72:2,LB72_2.GT80.PV,frost guard,degC,Temperature,2ac88378-f79a-4b57-93a8-5a9892110cee,19.6,0.4,
daily,AHU LB72:2,LB72_2.GF40.PV,supply flow,l/s,Flow,ca935704-4998-466c-a216-8e6e68c31a86,1576.3,0.4,
daily,AHU LB72:2,LB72_2.GF70.PV,extract flow,l/s,Flow,092b8ca2-32a0-4b61-aa58-98cf6aec8e4a,1532.9,0.4,
weekly,AHU LB72:2,LB72_2.GP40.PV,supply duct pressure,Pa,Pressure,a945405d-acc6-4a22-a2de-8443fcfc8b9d,120.5,0.4,
weekly,AHU LB72:2,LB72_2.GP10.PV,supply filter dp,Pa,Pressure,498ad4c5-8792-400a-9b01-7062670a958c,36.3,0.4,
weekly,AHU LB72:2,LB72_2.GP61.PV,extract filter dp,Pa,Pressure,6bfb153b-16a8-4caf-805c-1c6fb58562fb,44.1,0.4,
daily,AHU LB72:2,LB72_2.SV20.SA,heating valve signal,%,ValvePosition,96821036-8e92-4f1c-814b-d1fe21199245,0.0,0.4,
daily,AHU LB72:2,LB72_2.SV30.SA,cooling valve signal,%,ValvePosition,19661131-6e62-45c7-b639-25855e90e8b3,0.0,0.4,
daily,AHU LB72:2,LB72_2.VVX.SA,heat recovery signal,%,ValvePosition,f0afd375-8a85-43f0-a472-4bd34e5a125b,3.0,0.4,
daily,AHU LB72:2,LB72_2.UV40.SA,supply fan VFD signal,%,ValvePosition,303a074d-ab50-401e-9540-6dc174f5aa27,47.1,0.4,
daily,AHU LB72:2,LB72_2.FF1.VT,extract fan running,0/1,State,30e4d934-a41a-40f9-a423-f579db7650d0,0.1,0.4,
daily,AHU LB733,LB733.GT10.PV,outdoor,degC,Temperature,ce39ae94-b870-43e8-a5f7-1ed7b49f15cd,19.1,0.3,
daily,AHU LB733,LB733.GT40.PV,supply,degC,Temperature,fd3ad446-a0e3-47c0-9e32-f2b38be599dd,16.2,0.3,
daily,AHU LB733,LB733.GT50.PV,room,degC,Temperature,72817e01-dc92-46c8-98bb-e38506a49687,22.5,0.3,
weekly,AHU LB733,LB733.GT61.PV,extract,degC,Temperature,9eec6aa6-085b-4bb0-9f48-3492e66585ad,22.4,0.3,
weekly,AHU LB733,LB733.GT70.PV,exhaust,degC,Temperature,ca9fbb8a-cf01-45af-a3dd-ea545f53a583,23.3,0.3,
weekly,AHU LB733,LB733.GP10.PV,supply filter dp,Pa,Pressure,58d7593d-90b5-493e-87a8-13da62274b97,42.3,0.3,
weekly,AHU LB733,LB733.GP61.PV,extract filter dp,Pa,Pressure,a3c9d85f-e1d2-45ce-827c-84f5034dff9c,34.9,0.3,
daily,AHU LB733,LB733.SV20.SA,heating valve,%,ValvePosition,ea00a6de-8346-4ce6-9d6d-22eadd5d2def,0.0,0.3,
daily,AHU LB733,LB733.SV30.SA,cooling valve,%,ValvePosition,4d71d47d-330f-4a0a-989a-b36029fb1b87,61.0,0.3,
weekly,AHU LB121,LB121.GT10.PV,outdoor,degC,Temperature,22be68c4-6ac8-4194-be6a-7057a582ec31,21.2,0.4,
weekly,AHU LB121,LB121.GT40.PV,supply,degC,Temperature,f8c26cfb-1b60-4555-8eaa-892b25abc63d,24.0,0.4,
weekly,AHU LB121,LB121.GT50.PV,room,degC,Temperature,e2a6d2a2-722b-4852-99ab-cb12bd7796c1,27.6,0.4,
weekly,AHU LB121,LB121.GF40.PV,supply flow,l/s,Flow,a754b3b4-a121-44df-a003-690274668241,46.6,0.4,
weekly,AHU LB121,LB121.GP10.PV,supply filter dp,Pa,Pressure,9eb496b8-9b49-418b-92a0-d3b8bac9a37f,7.5,0.4,
weekly,AHU LB121,LB121.UV40.SA,supply fan VFD,%,ValvePosition,8e706ac0-150f-4810-827d-d06259aa0841,0.0,0.4,
weekly,AHU LB122,LB122.GT10.PV,outdoor,degC,Temperature,3831ce9d-48b7-462d-b5ce-6ba0840ef842,22.3,0.4,
weekly,AHU LB122,LB122.GT40.PV,supply,degC,Temperature,c3fdd37e-55ea-43ed-9a3c-a5539c107c29,24.5,0.4,
weekly,AHU LB122,LB122.GT50.PV,room,degC,Temperature,da4039d3-e736-4cef-82ea-35c74a28f3b8,23.5,0.4,
daily,AHU LB122,LB122.GF40.PV,supply flow,l/s,Flow,1ea40949-caeb-4ed0-85c7-c3f611d40059,91.4,0.4,
weekly,AHU LB122,LB122.GP10.PV,supply filter dp,Pa,Pressure,8a33a7dd-cb32-4979-90d6-1323fb690028,5.9,0.4,
weekly,AHU LB122,LB122.UV40.SA,supply fan VFD,%,ValvePosition,15bee330-bbab-440f-b6c8-9a2caebe0dd4,0.0,0.4,
daily,AHU LB32,LB32.GF40.PV,supply flow TF1:1,l/s,Flow,c6900c6c-4028-4384-bda1-943bc52e6015,3652.5,0.3,
daily,AHU LB32,LB32.GF41.PV,supply flow TF1:2,l/s,Flow,8c73dab2-5812-45cb-8c7a-72a9113cf46a,3793.0,0.5,
weekly,AHU LB32,LB32.TF1.VT,supply fan running,0/1,State,cf658780-5d05-4e2d-b4f3-82949dd122c7,0.1,0.3,
daily,AHU LB33,LB33.GF40.PV,supply flow TF1:1,l/s,Flow,f1ed8376-8e7d-4a0a-8c03-0a93513c696c,2296.8,0.4,
weekly,AHU LB33,LB33.GF41.PV,supply flow TF1:2,l/s,Flow,e11cac85-697b-4ffc-9232-c2d91257780f,2069.7,0.4,
weekly,AHU LB33,LB33.TF1.VT,supply fan running,0/1,State,4b222057-cdd6-4217-a88e-f25bba59a271,0.1,0.4,
daily,AHU LB52,LB52.GF40.PV,supply flow TF1:1,l/s,Flow,f74d8e97-b9db-431a-b70c-d9bc97861f42,2182.0,0.3,
weekly,AHU LB52,LB52.GF41.PV,supply flow TF1:2,l/s,Flow,bd515ab3-e410-4847-9a0f-1006a725e681,3575.8,0.3,
weekly,AHU LB52,LB52.TF1.VT,supply fan running,0/1,State,7c5e392e-dc8b-42bd-9d76-7ce5cc823596,0.1,0.3,
daily,AHU LB731,LB731.GF40.PV,supply flow,m3/s,Flow,064cb2b5-5c61-449c-8079-84ed67adce4c,2.4,0.4,
daily,AHU LB731,LB731.GF70.PV,extract flow,m3/s,Flow,6b22d248-09f2-4e7c-a848-fdb54d082b35,3.1,0.4,
alarm,AHU LB731,LB731.ECONET.SLB.LA,Econet sum alarm B,alarm,AlarmMajor,fd07a208-df5e-4e41-a720-a162fb93cf47,1.0,0.4,ACTIVE on 13.09
weekly,AHU LB13,LB13.GT10.PV,outdoor,degC,Temperature,5c51ca86-a4b2-4d8c-8acd-ebb84ccc9012,17.7,0.3,
daily,AHU LB13,LB13.GT40.PV,supply,degC,Temperature,44723485-8d1b-40fd-ac2f-d980ac54c283,15.1,0.3,
weekly,AHU LB13,LB13.GT50.PV,room,degC,Temperature,7e32a01e-3270-424e-a9e3-27ffeaefa25a,23.0,0.3,
daily,AHU LB13,LB13.GQ41.PV,CO2,ppm,CO2,85ea4c97-bd7b-44cb-9a2d-5426d0bec357,431.4,0.3,
daily,AHU LB13,LB13.GF40.PV,supply flow,l/s,Flow,3e6b9b9a-06e5-40f9-bdfe-476c9c174cdf,1492.5,0.3,
weekly,AHU LB13,LB13.GP40.PV,supply pressure,Pa,Pressure,dbc2ea92-f7ff-4d6f-aa9c-c512812dfc09,242.0,0.3,
daily,Refrigeration VKA12/KB12/FA12,KB12.GT11.PV,brine supply temp,degC,Temperature,86518f43-1ee8-4e49-9ce1-ea38439a904b,-6.7,0.3,
daily,Refrigeration VKA12/KB12/FA12,KB12.GT12.PV,brine return temp,degC,Temperature,9e588358-000b-4a03-ac61-b90195afc472,-3.8,0.3,
daily,Refrigeration VKA12/KB12/FA12,KB12.GP11.PV,brine dp,kPa,Pressure,9dcf7b42-404e-4a60-b76f-33d3e6466c38,49.9,0.3,
weekly,Refrigeration VKA12/KB12/FA12,KB12.P30A.SA,brine pump A VFD,%,ValvePosition,8575673d-44d6-4ac3-be14-667badb3687c,0.0,0.3,
weekly,Refrigeration VKA12/KB12/FA12,KB12.P30B.SA,brine pump B VFD,%,ValvePosition,bd874006-a164-4b20-abd9-fea88e9f5a15,85.0,0.4,
daily,Refrigeration VKA12/KB12/FA12,VKA12.KK1.HP.PV,compressor 1 high pressure,bar,Pressure,a91246dd-828e-4360-ad27-018b3fa7a973,8.0,0.3,
daily,Refrigeration VKA12/KB12/FA12,VKA12.KK2.HP.PV,compressor 2 high pressure,bar,Pressure,84e36bbd-2c83-463f-bfdb-d3b8aac0f37f,7.8,0.3,
weekly,Refrigeration VKA12/KB12/FA12,VKA12.GT11.PV,VKA12 temp 11,degC,Temperature,951fe7ac-8ff6-45b7-b51d-41a5efa36af1,26.1,0.3,
weekly,Refrigeration VKA12/KB12/FA12,VKA12.GT12.PV,VKA12 temp 12,degC,Temperature,3e55cc36-dcba-418e-8f63-dac564b6705d,30.5,0.3,
weekly,Refrigeration VKA12/KB12/FA12,VKA12.P30.SA,VKA12 pump VFD,%,ValvePosition,1776bf8c-ca0e-4d7a-8f5c-d727042b92fe,100.0,0.3,
weekly,Refrigeration VKA12/KB12/FA12,FA12.GT11.PV,dry cooler temp in,degC,Temperature,90e3a0e5-bb18-44ad-9fb0-0e2620aea4aa,26.1,0.3,
weekly,Refrigeration VKA12/KB12/FA12,FA12.GT12.PV,dry cooler temp out,degC,Temperature,53f3a17d-cc3b-4953-8686-77dbc09034d8,37.5,0.3,
weekly,Refrigeration VKA12/KB12/FA12,FA12.P30.SA,dry cooler fan/pump VFD,%,ValvePosition,cab90ac1-9a82-4f20-a079-bc7d0b6d3083,59.6,0.4,
weekly,Refrigeration VKA12/KB12/FA12,FA12.KK1.HP.PV,FA12 high pressure,bar,Pressure,58de7747-99d9-478d-9071-51c041b9eea2,14.8,0.4,
daily,Comfort cooling VKA1-3/KB1/KM1,VKA.ANTAL.PV,number of chillers running,count,State,466f5582-47a2-481c-9214-09debd4b4620,0.1,0.4,
weekly,Comfort cooling VKA1-3/KB1/KM1,KB1.GT11.PV,KB1 temp 11,degC,Temperature,2d3f61ee-8745-4971-b121-8c96502a2191,25.9,0.3,
weekly,Comfort cooling VKA1-3/KB1/KM1,KB1.GT12.PV,KB1 temp 12,degC,Temperature,e818de54-326f-4453-9804-03e2bb2c851f,30.9,0.3,
weekly,Comfort cooling VKA1-3/KB1/KM1,KB1.SV30.SA,KB1 valve,%,ValvePosition,9b6f4c6e-3fed-45fa-9443-e32d43fdab55,46.4,0.3,
weekly,Comfort cooling VKA1-3/KB1/KM1,KB1.GP11.PL3.PV,KB1 pressure plan 3,kPa,Pressure,ffae7f47-3927-4999-8f36-979136daddc8,72.8,0.4,
weekly,Comfort cooling VKA1-3/KB1/KM1,VKA3A.GP11.PV,VKA3A condenser pressure,bar,Pressure,fadfac8e-2614-4700-98e7-e8d8f4016f7b,0.0,0.4,0.0 on 13.09 - off or dead
weekly,Comfort cooling VKA1-3/KB1/KM1,VKA3B.GP11.PV,VKA3B condenser pressure,bar,Pressure,6196367b-b1b7-480d-bfb5-466d9e0a81ae,0.0,0.4,0.0 on 13.09
alarm,Comfort cooling VKA1-3/KB1/KM1,VKA3.SEK.LA,VKA3 regulator in hand,alarm,AlarmMinor,91294c95-b6a5-40b9-9f1e-438191c1882f,1.0,0.4,ACTIVE 13.09
weekly,Comfort cooling VKA1-3/KB1/KM1,VKA3A.SV31.LA,VKA3A SV31 valve wrong position,alarm,AlarmMinor,6aa6a690-c477-42c8-938a-9dfaf451cf15,1.0,0.4,ACTIVE 13.09
weekly,Comfort cooling VKA1-3/KB1/KM1,VKA3A.SV32.LA,VKA3A SV32 valve wrong position,alarm,AlarmMinor,e93c2239-30e4-4de9-80e5-13a1a158a4cc,1.0,0.4,ACTIVE 13.09
weekly,Comfort cooling VKA1-3/KB1/KM1,VKA3B.SV31.LA,VKA3B SV31 valve wrong position,alarm,AlarmMinor,94f7cab4-dd00-4a96-ba1f-629c36b73f50,1.0,0.4,ACTIVE 13.09
weekly,Comfort cooling VKA1-3/KB1/KM1,VKA3B.SV32.LA,VKA3B SV32 valve wrong position,alarm,AlarmMinor,eeb7a366-a2b5-4e40-961d-7ed4704e9cc9,1.0,0.4,ACTIVE 13.09
weekly,Comfort cooling VKA1-3/KB1/KM1,KM1.GT13.PV,KM1 temp,degC,Temperature,d1717f47-d5a5-4d01-ab03-b61186f801dd,22.7,0.4,
weekly,Comfort cooling VKA1-3/KB1/KM1,KM1.UV30A.SA,KM1 pump A VFD,%,ValvePosition,eedea5dd-f529-4f37-b87c-ff9b64e64506,0.0,0.4,
weekly,Comfort cooling VKA1-3/KB1/KM1,KB102.DAGG.PV,KB102 dew point,degC,Temperature,38977b1f-94b4-401b-8fc3-92e76508e71a,12.4,0.4,
weekly,Comfort cooling VKA1-3/KB1/KM1,KB102.GT51.PV,KB102 room temp,degC,Temperature,fb1576c2-95c1-4eb3-b3c4-8cbb3b63ffc0,23.2,0.4,
daily,District heating VP1 / heating VS1,VP1.MQ41.ENERGI.PV,DH energy register,kWh? verify unit,ActivePowerTotal,42675e3f-5eba-49ab-b82c-84e93fac628e,4376850.0,0.4,
daily,District heating VP1 / heating VS1,VP1.MQ41.FLOW.PV,DH volume register,m3,Flow,065b24b6-83bc-46dd-8d2b-547b645c5d5c,100582.0,0.4,
daily,District heating VP1 / heating VS1,VP1.MQ41.EFFEKT.PV,DH power,kW? verify,ActivePowerTotal,7203c7c7-58df-4d45-a79e-c18291a80543,0.0,0.4,
daily,District heating VP1 / heating VS1,VP1.DELTA.PV,DH delta-T supply-return,K,Temperature,2b4a8c9d-ca5f-4c4f-93da-0c80ff570370,2.4,0.4,
weekly,District heating VP1 / heating VS1,VP1.GT41.PV,DH temp 41,degC,State,f8ac8437-9af7-4d8f-ae15-35cfb7fa96d9,26.0,0.4,
weekly,District heating VP1 / heating VS1,VP1.GT42.PV,DH temp 42,degC,State,96eb85c6-6caa-452d-bb66-1594f0928ad5,24.0,0.4,
daily,District heating VP1 / heating VS1,VS1.P90.SA,heating circuit VS1 pump,%,ValvePosition,ef181d7e-6a59-44e0-a2e2-a6ac991ce855,0.0,0.4,
daily,District heating VP1 / heating VS1,FLK1.GT50.PV,FLK1 temp,degC,Temperature,210ffe33-077d-4e70-be79-ac3c2b18b4da,20.5,0.3,
alarm,Sum alarms,AU.HAND.LA,any analog output in hand,alarm,AlarmMinor,7f0bd7aa-432f-4d9a-a228-0531644ed345,1.0,0.3,7 sensors share this littera (one per AS/DUC); bound to the one that read 1 on 13.09 (AU.HAND *1B Analog utgång i hand)
alarm,Sum alarms,DI.HAND.LA,any digital output in hand,alarm,AlarmMinor,f0886891-1285-4961-a59b-b94f1f71232f,0.0,0.3,
alarm,Sum alarms,AS65.CENTBRAND.LA,central fire alarm in AS65,alarm,AlarmMajor,713084ba-9dee-4e65-9b6d-25b5ba81dc4c,0.0,0.4,
alarm,Sum alarms,UPS.SA.LA,UPS alarm,alarm,AlarmMajor,b7caee96-c17d-4c9f-8222-36f57e015856,0.0,0.3,
alarm,Sum alarms,RESERVKRAFT.LA,standby power alarm,alarm,AlarmMinor,030f852a-7110-4177-8584-46888aca4e85,0.0,0.3,
alarm,Sum alarms,MASTER.KOMM.LA,master comm alarm,alarm,AlarmMinor,19de9f66-3882-4a71-80a6-1d216b4b26b9,0.0,0.4,
monday,Lifts (Saia),HISS1.LA,not at preferred floor alarm,alarm,AlarmMinor,b5aa8fc7-7bc1-4ab8-98b0-8a2260f29a62,0.0,0.3,
monday,Lifts (Saia),HISS2.LA,not at preferred floor alarm,alarm,AlarmMinor,5311b0ca-f6e9-43cf-bd10-5d41922718c3,0.0,0.3,
monday,Lifts (Saia),HISS3.LA,not at preferred floor alarm,alarm,AlarmMinor,2415c75b-821b-4e0c-934c-52d3be3f3d3d,0.0,0.3,
monday,Lifts (Saia),HISS6.LA,not at preferred floor alarm,alarm,AlarmMinor,e5fefac3-8f00-4220-b53f-258aea2639bf,0.0,0.3,
monday,Lifts (Saia),HISS7.LA,not at preferred floor alarm,alarm,AlarmMinor,370cf464-99f9-403f-a83e-9e2c2055fe9d,0.0,0.3,
monday,Lifts (Saia),HISS8.LA,not at preferred floor alarm,alarm,AlarmMinor,3d5e5d87-5826-4e68-92dc-ef4bbc5dae8b,0.0,0.3,
monday,Lifts (Saia),HISS9.LA,not at preferred floor alarm,alarm,AlarmMinor,30d2a787-4afd-4ba7-b614-342cc38f9efc,0.0,0.3,
monday,Lifts (Saia),HISS10.LA,not at preferred floor alarm,alarm,AlarmMinor,02b22f7c-2f70-4c2f-94b1-56e97760f07a,0.0,0.5,
monday,Lifts (Saia),HISS11.LA,not at preferred floor alarm,alarm,AlarmMinor,90b18434-014f-4cbd-83ca-327f50762489,0.0,0.3,
monday,Lifts (Saia),HISS13.LA,not at preferred floor alarm,alarm,AlarmMinor,3fdc1138-f134-4055-99b2-8baa83d896be,0.0,0.5,
