family,system,littera,popularName,quantityKind,placement,room_name,room_littera,storey,sensor_id,parent_device_id,latest_value,age_hours_at_probe,edgeStatus
Lindinvent,Lindinvent,LB104-7001-KFD1/-12,LB104-7001-KFD1 Supply air flow,Flow,SupplyAir,HISSHALL,7001,PLAN 10,0c8c4069-9dbd-4d8b-ad77-b354e8d39167,088e14fc-9137-4751-b816-edd159639840,2.0,0.3,OK
Lindinvent,Lindinvent,LB104-7001-KFD1/-20,LB104-7001-KFD1 Pressure,Pressure,IndoorAir,HISSHALL,7001,PLAN 10,3210ef5c-e117-4d0f-94a4-05414de854ff,088e14fc-9137-4751-b816-edd159639840,1.1,0.3,OK
Lindinvent,Lindinvent,LB104-7001-KFD1/8007,LB104-7001-KFD1 Pressure setpoint,CapabilityTypeSetpoint,IndoorAir,HISSHALL,7001,PLAN 10,1616a70a-ff7e-4a8a-89f8-9e66b71bb8a9,088e14fc-9137-4751-b816-edd159639840,10.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15A1/-12,LB104-7002-TB15A1 Supply air flow,Flow,SupplyAir,ENTRÉ,7002,PLAN 10,8a7fc360-f0c3-4e99-b86e-43463b8788e6,c2dfa181-1af3-471a-a9d9-5a95d7e9ef18,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15A1/4151,LB104-7002-TB15A1 Local presence,Presence,IndoorAir,ENTRÉ,7002,PLAN 10,4fbcf1d2-a6b8-4eec-9156-d25bb93b5e5a,c2dfa181-1af3-471a-a9d9-5a95d7e9ef18,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15A1/4152,LB104-7002-TB15A1 Presence,Presence,IndoorAir,ENTRÉ,7002,PLAN 10,ac6f3d6d-3658-4159-ab06-6350568bf1a9,c2dfa181-1af3-471a-a9d9-5a95d7e9ef18,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15A1/8006,LB104-7002-TB15A1 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,ENTRÉ,7002,PLAN 10,a9178e59-dbca-4072-9912-4145cdfe4d9e,c2dfa181-1af3-471a-a9d9-5a95d7e9ef18,21.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15A1/9004,LB104-7002-TB15A1 Opening,State,SupplyAir,ENTRÉ,7002,PLAN 10,05750e3f-ae94-4eda-8e13-e238eaf04dfb,c2dfa181-1af3-471a-a9d9-5a95d7e9ef18,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15A1/9070,LB104-7002-TB15A1 Room temperature,Temperature,IndoorAir,ENTRÉ,7002,PLAN 10,7a0dc051-fd26-41af-a4d0-e98b7b7dcf7d,c2dfa181-1af3-471a-a9d9-5a95d7e9ef18,21.8,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15B2/-12,LB104-7002-TB15B2 Supply air flow,Flow,SupplyAir,ENTRÉ,7002,PLAN 10,a46a40b9-c01f-404a-bba4-b82d25b591e1,3af5e55c-fa3e-4926-9532-c095b5b288ab,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15B2/4151,LB104-7002-TB15B2 Local presence,Presence,IndoorAir,ENTRÉ,7002,PLAN 10,c19d53da-1173-41d7-b3a4-53cee5185cb6,3af5e55c-fa3e-4926-9532-c095b5b288ab,0.0,0.3,OK
