group,role,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
agent B,CPlt350 chilled water,C'CPlt350'Isvann'IK001'TFl412,6386f9c2-356d-4054-8b57-683f7647d9db,Temperature,Celsius,9.420000076293945,2026-09-02T06:35:41,
agent B,CPlt350 chilled water,C'CPlt350'Isvann'IK001'TRt509,704b409c-3572-4b25-9d05-9c8f052cde67,Temperature,Celsius,11.359999656677246,2026-09-02T06:35:39,
agent B,CPlt350 chilled water,C'CPlt350'Isvann'IK002'TFl410,41132178-4107-4e09-8fc6-fe77cb585aec,Temperature,Celsius,10.279999732971191,2026-09-02T06:35:40,
agent B,CPlt350 chilled water,C'CPlt350'Isvann'IK002'TRt507,200e64b2-1a2d-423a-a6b5-9da488e1cb8f,Temperature,Celsius,11.559999465942383,2026-09-02T06:35:39,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cds390010'TFl405,63e1c065-ac5a-4d1d-bb89-ff6ddd4ca894,Temperature,Celsius,36.619998931884766,2026-09-02T06:35:39,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cds390010'TFl406,6db24cf1-40ad-405e-8f16-ad6bf31d16bc,Temperature,Celsius,36.540000915527344,2026-09-02T06:35:37,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cds390020'TFl407,4db551a8-ec89-47c4-a204-a6b44d4a5ecb,Temperature,Celsius,36.57999801635742,2026-09-02T06:35:38,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cds390020'TFl408,7de69a19-7d71-44fd-b2a6-a902a9d40d0c,Temperature,Celsius,35.18000030517578,2026-09-02T06:35:40,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cdstorrkj'TFl403,1e8f0a0c-1606-44e4-a33b-8a8af17fb9fa,Temperature,Celsius,36.52000045776367,2026-09-02T06:35:39,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cdstorrkj'TFl404,fa681150-68a8-4a50-be63-ba70a608c016,Temperature,Celsius,34.939998626708984,2026-09-02T06:35:39,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cdstorrkj'TFl413,836c0bc1-75a7-43ab-96e8-0af6032d1fb8,Temperature,Celsius,35.07999801635742,2026-09-02T06:35:39,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cdstorrkj'TRt503,94382303-ecc3-4ce4-ae81-ae42b597d8e2,Temperature,Celsius,34.31999969482422,2026-09-02T06:35:39,
agent B,CPlt350 condenser,C'CPlt350'Cds'Cdstorrkj'TRt504,e10e1e67-95fb-495f-be6b-f4701bbf83de,Temperature,Celsius,34.73999786376953,2026-09-02T06:35:38,
agent B,CPlt350 condenser,C'CPlt350'Cds'IK001'TFl411,9bfd2934-6974-4aa6-8821-99185155837a,Temperature,Celsius,37.18000030517578,2026-09-02T06:35:40,
agent B,CPlt350 condenser,C'CPlt350'Cds'IK001'TRt508,9695ba2d-d687-4b3f-bcbe-498ddaa2ff73,Temperature,Celsius,34.70000076293945,2026-09-02T06:35:37,
agent B,CPlt350 condenser,C'CPlt350'Cds'IK002'TFl409,c41fbfbe-9c22-476e-9fe8-089af4b03fd4,Temperature,Celsius,35.959999084472656,2026-09-02T06:35:38,
agent B,CPlt350 condenser,C'CPlt350'Cds'IK002'TRt506,776404d7-2d5d-4596-b068-46d6a9f29809,Temperature,Celsius,34.65999984741211,2026-09-02T06:35:39,
